Method,USER,PATH_ID,TARGET,RAW_PATH,RAW_GENERATED_ITEM_COUNT,EXACTLY_RESOLVED_ITEM_COUNT,RESOLVED_ITEM_COUNT,UNRESOLVED_ITEM_COUNT,UNRESOLVED_TITLES,RESOLVED_PATH,HISTORY_REUSE_COUNT,HISTORY_REUSE_RATE,HISTORY_REUSED_TITLES,RAW_TARGET_PRESENT,RESOLVED_TARGET_PRESENT,RAW_TARGET_LAST,RESOLVED_TARGET_LAST,INTRA_PATH_DUPLICATE_COUNT,INTRA_PATH_DUPLICATE_RATE,DUPLICATED_TITLES,IoI,IoR,Proxy,Coherence,EVALUATOR_VALID,FORMAL_METRIC_STATUS
SMR-MIMAR-G-Full,419,1,Clean Slate (Coup de Torchon) (1981),"[""From Dusk Till Dawn (1996)"", ""Batman Forever (1995)"", ""Best Men (1997)"", ""Twin Town (1997)"", ""Midnight in the Garden of Good and Evil (1997)"", ""Hana-bi (1997)"", ""Clean Slate (Coup de Torchon) (1981)""]",7,7,7,0,[],"[""From Dusk Till Dawn (1996)"", ""Batman Forever (1995)"", ""Best Men (1997)"", ""Twin Town (1997)"", ""Midnight in the Garden of Good and Evil (1997)"", ""Hana-bi (1997)"", ""Clean Slate (Coup de Torchon) (1981)""]",0,0.0,[],True,True,True,True,0,0.0,[],4.414846015292287,413,0.2953613205397403,1.0,True,valid
SMR-MIMAR-G-Full,419,2,Clean Slate (Coup de Torchon) (1981),"[""From Dusk Till Dawn (1996)"", ""Batman Forever (1995)"", ""Best Men (1997)"", ""Twin Town (1997)"", ""Midnight in the Garden of Good and Evil (1997)"", ""Hana-bi (1997)"", ""Clean Slate (Coup de Torchon) (1981)""]",7,7,7,0,[],"[""From Dusk Till Dawn (1996)"", ""Batman Forever (1995)"", ""Best Men (1997)"", ""Twin Town (1997)"", ""Midnight in the Garden of Good and Evil (1997)"", ""Hana-bi (1997)"", ""Clean Slate (Coup de Torchon) (1981)""]",0,0.0,[],True,True,True,True,0,0.0,[],4.414846015292287,413,0.2953613205397403,1.0,True,valid
SMR-MIMAR-G-Full,5021,1,Drunken Master (Zui quan) (1979),"[""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Star Wars: Episode VI - Return of the Jedi (1983)"", ""Transformers: The Movie, The (1986)"", ""Saving Private Ryan (1998)"", ""Soldier (1998)"", ""Mars Attacks! (1996)"", ""Drunken Master (Zui quan) (1979)""]",7,7,7,0,[],"[""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Star Wars: Episode VI - Return of the Jedi (1983)"", ""Transformers: The Movie, The (1986)"", ""Saving Private Ryan (1998)"", ""Soldier (1998)"", ""Mars Attacks! (1996)"", ""Drunken Master (Zui quan) (1979)""]",0,0.0,[],True,True,True,True,0,0.0,[],-0.4257116208881637,-508,0.978608250617981,1.0,True,valid
SMR-MIMAR-G-Full,5021,2,Drunken Master (Zui quan) (1979),"[""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Star Wars: Episode VI - Return of the Jedi (1983)"", ""Transformers: The Movie, The (1986)"", ""Saving Private Ryan (1998)"", ""Soldier (1998)"", ""Mars Attacks! (1996)"", ""Drunken Master (Zui quan) (1979)""]",7,7,7,0,[],"[""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Star Wars: Episode VI - Return of the Jedi (1983)"", ""Transformers: The Movie, The (1986)"", ""Saving Private Ryan (1998)"", ""Soldier (1998)"", ""Mars Attacks! (1996)"", ""Drunken Master (Zui quan) (1979)""]",0,0.0,[],True,True,True,True,0,0.0,[],-0.4257116208881637,-508,0.978608250617981,1.0,True,valid
SMR-MIMAR-G-Full,2677,1,Jingle All the Way (1996),"[""Charade (1963)"", ""Pyromaniac's Love Story, A (1995)"", ""Free Willy 2: The Adventure Home (1995)"", ""Jingle All the Way (1996)""]",4,4,4,0,[],"[""Charade (1963)"", ""Pyromaniac's Love Story, A (1995)"", ""Free Willy 2: The Adventure Home (1995)"", ""Jingle All the Way (1996)""]",0,0.0,[],True,True,True,True,0,0.0,[],4.377269802579479,1450,0.3016080604866147,0.6666666666666666,True,valid
SMR-MIMAR-G-Full,2677,2,Jingle All the Way (1996),"[""Charade (1963)"", ""Pyromaniac's Love Story, A (1995)"", ""Free Willy 2: The Adventure Home (1995)"", ""Jingle All the Way (1996)""]",4,4,4,0,[],"[""Charade (1963)"", ""Pyromaniac's Love Story, A (1995)"", ""Free Willy 2: The Adventure Home (1995)"", ""Jingle All the Way (1996)""]",0,0.0,[],True,True,True,True,0,0.0,[],4.377269802579479,1450,0.3016080604866147,0.6666666666666666,True,valid
SMR-MIMAR-G-Full,3113,1,"League of Their Own, A (1992)","[""Waiting to Exhale (1995)"", ""League of Their Own, A (1992)""]",2,2,2,0,[],"[""Waiting to Exhale (1995)"", ""League of Their Own, A (1992)""]",0,0.0,[],True,True,True,True,0,0.0,[],1.5517478305475612,93,0.6027003526687622,1.0,True,valid
SMR-MIMAR-G-Full,3113,2,"League of Their Own, A (1992)","[""Waiting to Exhale (1995)"", ""League of Their Own, A (1992)""]",2,2,2,0,[],"[""Waiting to Exhale (1995)"", ""League of Their Own, A (1992)""]",0,0.0,[],True,True,True,True,0,0.0,[],1.5517478305475612,93,0.6027003526687622,1.0,True,valid
SMR-MIMAR-G-Full,2249,1,Timecop (1994),"[""Get Shorty (1995)"", ""Tank Girl (1995)"", ""Timecop (1994)""]",3,3,3,0,[],"[""Get Shorty (1995)"", ""Tank Girl (1995)"", ""Timecop (1994)""]",0,0.0,[],True,True,True,True,0,0.0,[],1.954670768812374,632,0.8556778728961945,1.0,True,valid
SMR-MIMAR-G-Full,2249,2,Timecop (1994),"[""Get Shorty (1995)"", ""Tank Girl (1995)"", ""Timecop (1994)""]",3,3,3,0,[],"[""Get Shorty (1995)"", ""Tank Girl (1995)"", ""Timecop (1994)""]",0,0.0,[],True,True,True,True,0,0.0,[],1.954670768812374,632,0.8556778728961945,1.0,True,valid
