USER,POSITION,MOVIE_ID,TITLE
5021,12,593,"Silence of the Lambs, The (1991)"
5021,13,3634,Seven Days in May (1964)
5021,14,1358,Sling Blade (1996)
5021,15,904,Rear Window (1954)
5021,16,2391,"Simple Plan, A (1998)"
5021,17,2819,Three Days of the Condor (1975)
5021,18,1214,Alien (1979)
5021,19,3551,Marathon Man (1976)
5021,20,3461,Lord of the Flies (1963)
5021,21,1086,Dial M for Murder (1954)
5021,22,931,Spellbound (1945)
5021,23,1240,"Terminator, The (1984)"
5021,24,2553,Village of the Damned (1960)
5021,25,3176,"Talented Mr. Ripley, The (1999)"
5021,26,2009,Soylent Green (1973)
5021,27,1625,"Game, The (1997)"
5021,28,3204,"Boys from Brazil, The (1978)"
5021,29,2058,"Negotiator, The (1998)"
5021,30,3230,"Odessa File, The (1974)"
5021,31,923,Citizen Kane (1941)
5021,32,820,"Death in the Garden (Mort en ce jardin, La) (1956)"
5021,33,3447,"Good Earth, The (1937)"
5021,34,912,Casablanca (1942)
5021,35,2804,"Christmas Story, A (1983)"
5021,36,318,"Shawshank Redemption, The (1994)"
5021,37,919,"Wizard of Oz, The (1939)"
5021,38,3095,"Grapes of Wrath, The (1940)"
5021,39,908,North by Northwest (1959)
5021,40,1276,Cool Hand Luke (1967)
5021,41,3468,"Hustler, The (1961)"
5021,42,1247,"Graduate, The (1967)"
5021,43,1299,"Killing Fields, The (1984)"
5021,44,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
5021,45,2660,"Thing From Another World, The (1951)"
5021,46,541,Blade Runner (1982)
5021,47,3471,Close Encounters of the Third Kind (1977)
5021,48,1200,Aliens (1986)
5021,49,1206,"Clockwork Orange, A (1971)"
5021,50,924,2001: A Space Odyssey (1968)
5021,51,1077,Sleeper (1973)
5021,52,2287,Them! (1954)
5021,53,1253,"Day the Earth Stood Still, The (1951)"
5021,54,1301,Forbidden Planet (1956)
5021,55,2288,"Thing, The (1982)"
5021,56,2968,Time Bandits (1981)
5021,57,2571,"Matrix, The (1999)"
5021,58,2985,Robocop (1987)
5021,59,2662,"War of the Worlds, The (1953)"
5021,60,3527,Predator (1987)
5021,61,1580,Men in Black (1997)
5021,62,2117,Nineteen Eighty-Four (1984)
5021,63,2528,Logan's Run (1976)
5021,64,24,Powder (1995)
5021,65,674,Barbarella (1968)
5021,66,2665,Earth Vs. the Flying Saucers (1956)
5021,67,780,Independence Day (ID4) (1996)
5021,68,1320,Alien³ (1992)
5021,69,2408,Cocoon: The Return (1988)
5021,70,1212,"Third Man, The (1949)"
5021,71,1284,"Big Sleep, The (1946)"
5021,72,913,"Maltese Falcon, The (1941)"
5021,73,1269,Arsenic and Old Lace (1944)
5021,74,1964,Klute (1971)
5021,75,1097,E.T. the Extra-Terrestrial (1982)
5021,76,1224,Henry V (1989)
5021,77,1204,Lawrence of Arabia (1962)
5021,78,527,Schindler's List (1993)
5021,79,1939,"Best Years of Our Lives, The (1946)"
5021,80,1250,"Bridge on the River Kwai, The (1957)"
5021,81,3545,Cabaret (1972)
5021,82,3035,Mister Roberts (1955)
5021,83,3342,Birdy (1984)
5021,84,1294,M*A*S*H (1970)
5021,85,1263,"Deer Hunter, The (1978)"
5021,86,2944,"Dirty Dozen, The (1967)"
5021,87,1272,Patton (1970)
5021,88,969,"African Queen, The (1951)"
5021,89,1208,Apocalypse Now (1979)
5021,90,2067,Doctor Zhivago (1965)
5021,91,1090,Platoon (1986)
5021,92,897,For Whom the Bell Tolls (1943)
5021,93,1408,"Last of the Mohicans, The (1992)"
5021,94,3066,Tora! Tora! Tora! (1970)
5021,95,356,Forrest Gump (1994)
2677,1,1961,Rain Man (1988)
2677,2,527,Schindler's List (1993)
2677,3,866,Bound (1996)
2677,4,2571,"Matrix, The (1999)"
2677,5,1127,"Abyss, The (1989)"
2677,6,2194,"Untouchables, The (1987)"
2677,7,1101,Top Gun (1986)
2677,8,3197,"Presidio, The (1988)"
2677,9,2741,No Mercy (1986)
2677,10,1674,Witness (1985)
2677,11,2762,"Sixth Sense, The (1999)"
2677,12,593,"Silence of the Lambs, The (1991)"
2677,13,1610,"Hunt for Red October, The (1990)"
2677,14,377,Speed (1994)
2677,15,1834,"Spanish Prisoner, The (1997)"
2677,16,2353,Enemy of the State (1998)
2677,17,1092,Basic Instinct (1992)
2677,18,2688,"General's Daughter, The (1999)"
2677,19,2707,Arlington Road (1999)
2677,20,1422,Murder at 1600 (1997)
2677,21,733,"Rock, The (1996)"
2677,22,3206,Against All Odds (1984)
3113,1,996,Last Man Standing (1996)
3113,2,1,Toy Story (1995)
3113,3,270,Love Affair (1994)
3113,4,3174,Man on the Moon (1999)
3113,5,231,Dumb & Dumber (1994)
3113,6,460,Getting Even with Dad (1994)
3113,7,486,Life with Mikey (1993)
3113,8,1413,"Whole Wide World, The (1996)"
3113,9,3861,"Replacements, The (2000)"
3113,10,236,French Kiss (1995)
3113,11,186,Nine Months (1995)
3113,12,1485,Liar Liar (1997)
3113,13,377,Speed (1994)
3113,14,648,Mission: Impossible (1996)
3113,15,2445,At First Sight (1999)
3113,16,2248,Say Anything... (1989)
3113,17,380,True Lies (1994)
3113,18,1552,Con Air (1997)
3113,19,1874,Still Breathing (1997)
3113,20,1845,Zero Effect (1998)
3113,21,1370,Die Hard 2 (1990)
3113,22,1372,Star Trek VI: The Undiscovered Country (1991)
3113,23,2273,Rush Hour (1998)
3113,24,1059,William Shakespeare's Romeo and Juliet (1996)
3113,25,2125,Ever After: A Cinderella Story (1998)
3113,26,593,"Silence of the Lambs, The (1991)"
3113,27,1721,Titanic (1997)
2249,1,1193,One Flew Over the Cuckoo's Nest (1975)
2249,2,1841,"Gingerbread Man, The (1998)"
2249,3,879,"Relic, The (1997)"
2249,4,589,Terminator 2: Judgment Day (1991)
2249,5,110,Braveheart (1995)
2249,6,1965,Repo Man (1984)
2249,7,1259,Stand by Me (1986)
2249,8,1673,Boogie Nights (1997)
2249,9,3160,Magnolia (1999)
2249,10,908,North by Northwest (1959)
2249,11,2791,Airplane! (1980)
2249,12,1035,"Sound of Music, The (1965)"
2249,13,3555,U-571 (2000)
2249,14,3624,Shanghai Noon (2000)
2249,15,1580,Men in Black (1997)
2249,16,3753,"Patriot, The (2000)"
2249,17,3515,Me Myself I (2000)
2249,18,2455,"Fly, The (1986)"
2249,19,2792,Airplane II: The Sequel (1982)
2249,20,70,From Dusk Till Dawn (1996)
2249,21,3173,Any Given Sunday (1999)
2249,22,1203,12 Angry Men (1957)
2249,23,2072,"'burbs, The (1989)"
2249,24,2505,8MM (1999)
2249,25,1459,Absolute Power (1997)
2249,26,1127,"Abyss, The (1989)"
2249,27,19,Ace Ventura: When Nature Calls (1995)
2249,28,1608,Air Force One (1997)
2249,29,1274,Akira (1988)
2249,30,1064,Aladdin and the King of Thieves (1996)
2249,31,1214,Alien (1979)
2249,32,588,Aladdin (1992)
2249,33,3701,Alien Nation (1988)
2249,34,1690,Alien: Resurrection (1997)
2249,35,1200,Aliens (1986)
2249,36,1225,Amadeus (1984)
2249,37,2858,American Beauty (1999)
2249,38,3725,American Pop (1981)
2249,39,2706,American Pie (1999)
2249,40,2329,American History X (1998)
2249,41,11,"American President, The (1995)"
2249,42,1321,"American Werewolf in London, An (1981)"
2249,43,1499,Anaconda (1997)
2249,44,1440,Amos & Andrew (1993)
2249,45,2539,Analyze This (1999)
2249,46,1021,Angels in the Outfield (1994)
2249,47,700,Angus (1995)
2249,48,2294,Antz (1998)
